Param Counts,Max Valid Scores
4545,0.8197981739548295
9219,0.08889956751561749
14280,0.6112445939452187
19599,0.17491590581451225
25176,0.8745795290725613
31011,0.6487265737626141
37104,0.746756367131187
43455,0.6573762614127823
50064,0.7890437289764536
56931,0.7419509851033157
64056,0.7525228255646323
71439,0.44882268140317155
79080,0.770783277270543
86979,0.478135511773186
95136,0.5785679961556944
103551,0.4771744353676117
112224,0.7025468524747718
121155,0.5876982220086497
130344,0.493993272465161
