Epochs,Validation Scores,Validation Running Scores
0,0.8197981739548295,
1,0.08889956751561749,
2,0.6112445939452187,
3,0.17491590581451225,
4,0.8745795290725613,
5,0.6487265737626141,
6,0.746756367131187,
7,0.6573762614127823,
8,0.7890437289764536,
9,0.7419509851033157,
10,0.7525228255646323,
11,0.44882268140317155,
12,0.770783277270543,
13,0.478135511773186,
14,0.5785679961556944,
15,0.4771744353676117,
16,0.7025468524747718,
17,0.5876982220086497,
18,0.493993272465161,
0,,0.8197981739548295
1,,0.08889956751561749
2,,0.6112445939452187
3,,0.17491590581451225
4,,0.8745795290725613
5,,0.6487265737626141
6,,0.746756367131187
7,,0.6573762614127823
8,,0.7890437289764536
9,,0.7419509851033157
10,,0.7525228255646323
11,,0.44882268140317155
12,,0.770783277270543
13,,0.478135511773186
14,,0.5785679961556944
15,,0.4771744353676117
16,,0.7025468524747718
17,,0.5876982220086497
18,,0.493993272465161
